#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:47:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589104a83d36	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/137/4186/stars
#-nav=cat:J/AJ/137/4186&tab:{J/AJ/137/4186/stars}&key:source=J/AJ/137/4186&HTTPPRM:&&-ref=VIZ589104a83d36&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=Vmag&-out=B-V&-out=U-B&-out=V-R&-out=R-I&-out=V-I&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=SimbadName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/137/4186/stars
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/137/4186/stars
#-order=I
#-out=Name
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-R
#-out=R-I
#-out=V-I
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51374186
#Name: J/AJ/137/4186
#Title: UBVRI standards around celestial equator (Landolt, 2009)
#Table	J_AJ_137_4186_stars:
#Name: J/AJ/137/4186/stars
#Title: UBVRI photometry, accurate coordinates and proper motions of standard stars {\em(tables 2 and 5 of the paper)}
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	The Johnson V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Mean error of the mean of Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	The Johnson (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F7.4)	? Mean error of the mean of B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	The Johnson (U-B) color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F7.4)	? Mean error of the mean of U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	V-R	(F6.3)	The Johnson-Cousins (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-R	(F7.4)	? Mean error of the mean of V-R	[ucd=stat.error;phot.color;em.opt.V]
#Column	R-I	(F6.3)	The Cousins (R-I) color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	e_R-I	(F7.4)	? Mean error of the mean of R-I	[ucd=stat.error;phot.color;em.opt.R]
#Column	V-I	(F6.3)	The Johnson-Cousins (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-I	(F7.4)	? Mean error of the mean of V-I	[ucd=stat.error;phot.color;em.opt.V]
#Column	Nobs	(I3)	Number of times star was observed	[ucd=meta.number]
#Column	Nnig	(I3)	Number of nights star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	UCAC2	(A8)	The UCAC2 identifier, Cat. I/289	[ucd=meta.id]
#Column	2MASS-PSC	(A17)	The 2MASS-PSC identifier, Cat. II/246	[ucd=meta.id]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Ref	(I1)	Proper motion reference (1)	[ucd=meta.ref;pos.pm;pos.frame]
#Column	SimbadName	(a20)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|Vmag|e_Vmag|B-V|e_B-V|U-B|e_U-B|V-R|e_V-R|R-I|e_R-I|V-I|e_V-I|Nobs|Nnig|RAJ2000|DEJ2000|UCAC2|2MASS-PSC|pmRA|pmDE|Ref|SimbadName
110 340    |10.025| 0.0008| 0.308| 0.0006| 0.124| 0.0014| 0.171| 0.0004| 0.183| 0.0006| 0.354| 0.0007|111| 92|18 41 28.448|+00 15 23.00|31906929|J18412844+0015229|    2.60|   -7.00|1|SA 110-340
110 477    |13.988| 0.0072| 1.345| 0.0131| 0.715| 0.0375| 0.850| 0.0031| 0.857| 0.0039| 1.707| 0.0063| 21| 11|18 41 43.200|+00 26 42.78|31906948|J18414320+0026427|   -2.10|    1.60|1|SA 110-477
110 246    |12.706|       | 0.586|       |-0.129|       | 0.381|       | 0.410|       | 0.790|       |  1|  1|18 41 50.757|+00 05 04.51|31906958|J18415076+0005046|  -52.40| -184.90|1|SA 110-246
110 346    |14.757|       | 0.999|       | 0.752|       | 0.697|       | 0.646|       | 1.345|       |  1|  1|18 41 55.208|+00 09 58.39|31906963|J18415519+0009583|    4.40|  -15.70|1|SA 110-346
110 349    |15.095|       | 1.088|       | 0.668|       | 0.503|       |-0.059|       | 0.477|       |  1|  1|18 42 13.409|+00 10 15.21|31906982|J18421339+0010153|   -9.00|   -3.80|1|SA 110-349
110 355    |11.944| 0.0027| 1.023| 0.0030| 0.504| 0.0045| 0.652| 0.0022| 0.727| 0.0022| 1.378| 0.0035| 16|  8|18 42 18.933|+00 08 24.22|31906997|J18421893+0008242|   -2.30|   -3.60|1|SA 110-355
110 358    |14.430|       | 1.039|       | 0.418|       | 0.603|       | 0.543|       | 1.150|       |  1|  1|18 42 35.516|+00 15 01.97|31907018|J18423551+0015019|  -12.80|  -18.30|1|SA 110-358
110 360    |14.618| 0.0094| 1.197| 0.0192| 0.539| 0.0291| 0.715| 0.0085| 0.717| 0.0031| 1.432| 0.0080|  5|  2|18 42 40.477|+00 09 10.71|31907028|J18424047+0009108|   -2.90|   -9.60|1|SA 110-360
110 361    |12.425| 0.0022| 0.632| 0.0022| 0.035| 0.0029| 0.361| 0.0018| 0.348| 0.0020| 0.709| 0.0029| 30| 17|18 42 45.010|+00 08 04.70|31907033|J18424501+0008047|    1.50|   -5.60|1|SA 110-361
110 362    |15.693|       | 1.333|       | 3.919|       | 0.918|       | 0.885|       | 1.803|       |  1|  1|18 42 48.277|+00 06 27.77|31907038|J18424828+0006278|   20.70|  -18.10|1|SA 110-362
110 266    |12.018| 0.0014| 0.889| 0.0028| 0.411| 0.0039| 0.538| 0.0014| 0.577| 0.0021| 1.111| 0.0032|  8|  3|18 42 48.798|+00 05 06.44|31907039|J18424879+0005064|    0.50|    4.50|1|SA 110-266
110 L1     |16.252|       | 1.752|       | 2.953|       | 1.066|       | 0.992|       | 2.058|       |  1|  1|18 42 50.187|+00 07 12.76|31907041|J18425018+0007126|    8.10|   -2.60|1|[L92b] SA 110 L1
110 364    |13.615| 0.0021| 1.133| 0.0067| 1.095| 0.0088| 0.697| 0.0015| 0.585| 0.0026| 1.281| 0.0021| 15|  7|18 42 52.785|+00 07 54.89|31907050|J18425278+0007548|    5.60|  -10.40|1|SA 110-364
110 157    |13.491| 0.0057| 2.123| 0.0257| 1.679| 0.1750| 1.257| 0.0034| 1.139| 0.0049| 2.395| 0.0057|  7|  3|18 42 56.472|-00 08 58.45|31728178|J18425646-0008585|   -1.90|  -11.00|1|SA 110-157
110 365    |13.470| 0.0027| 2.261| 0.0091| 1.895| 0.0313| 1.360| 0.0021| 1.270| 0.0022| 2.631| 0.0034| 45| 20|18 42 57.444|+00 07 23.12|31907060|J18425743+0007229|   -1.20|   -5.50|1|SA 110-365
110 496    |13.004| 0.0027| 1.040| 0.0060| 0.737| 0.0230| 0.607| 0.0020| 0.681| 0.0023| 1.287| 0.0043|  9|  4|18 42 59.294|+00 31 09.13|32078214|J18425929+0031092|   -1.70|   -4.60|1|SA 110-496
110 273    |14.686| 0.0161| 2.527| 0.0783| 1.000| 1.3416| 1.509| 0.0040| 1.345| 0.0103| 2.856| 0.0107|  5|  2|18 42 59.542|+00 02 23.92|31907063|J18425954+0002239|   -5.40|    1.60|1|SA 110-273
110 497    |14.196| 0.0054| 1.052| 0.0063| 0.380| 0.0143| 0.606| 0.0067| 0.597| 0.0045| 1.203| 0.0063|  5|  2|18 43 02.506|+00 30 56.79|32078215|J18430250+0030569|   -1.50|   -7.80|1|SA 110-497
110 280    |12.996| 0.0034| 2.151| 0.0144| 2.133| 0.0906| 1.235| 0.0018| 1.148| 0.0030| 2.384| 0.0036| 25| 12|18 43 06.960|-00 03 41.52|31728203|J18430697-0003415|    3.80|  -13.00|1|SA 110-280
110 499    |11.737| 0.0031| 0.987| 0.0029| 0.639| 0.0071| 0.600| 0.0019| 0.674| 0.0017| 1.273| 0.0029| 23| 13|18 43 07.663|+00 28 01.47|31907077|J18430765+0028016|    2.60|    0.20|1|SA 110-499
110 502    |12.330| 0.0031| 2.326| 0.0047| 2.326| 0.0225| 1.373| 0.0019| 1.250| 0.0024| 2.625| 0.0041| 38| 19|18 43 10.111|+00 27 42.37|31907082|J18431010+0027424|   -5.00|   -0.10|1|SA 110-502
110 503    |11.773| 0.0031| 0.671| 0.0020| 0.506| 0.0051| 0.373| 0.0018| 0.436| 0.0016| 0.808| 0.0022| 26| 14|18 43 11.696|+00 29 42.95|31907085|J18431169+0029430|    5.00|   -6.00|1|SA 110-503
110 504    |14.022| 0.0013| 1.248| 0.0063| 1.323| 0.0268| 0.797| 0.0036| 0.683| 0.0063| 1.482| 0.0080|  5|  2|18 43 11.712|+00 30 04.57|32078228|J18431171+0030047|    9.50|  -52.30|1|SA 110-504
110 506    |11.312| 0.0021| 0.568| 0.0021| 0.059| 0.0064| 0.335| 0.0007| 0.312| 0.0042| 0.652| 0.0042|  2|  1|18 43 18.927|+00 30 27.14|32078242|J18431892+0030272|    0.50|  -10.60|1|SA 110-506
110 507    |12.440| 0.0049| 1.141| 0.0057| 0.830| 0.0057| 0.633| 0.0042| 0.579|       | 1.206| 0.0049|  2|  1|18 43 19.126|+00 29 26.00|31907091|J18431912+0029262|    1.50|  -20.80|1|SA 110-507
110 290    |11.898| 0.0029| 0.708| 0.0006| 0.196| 0.0046| 0.418| 0.0023| 0.418| 0.0029| 0.836| 0.0035|  3|  2|18 43 22.132|-00 01 15.40|31728252|J18432212-0001154|   10.00|  -10.00|2|SA 110-290
110 441    |11.122| 0.0006| 0.556| 0.0005| 0.108| 0.0011| 0.325| 0.0005| 0.335| 0.0006| 0.660| 0.0009| 84| 74|18 43 33.607|+00 19 40.72|31907132|J18433361+0019407|    2.70|  -14.30|1|SA 110-441
110 311    |15.505| 0.0180| 1.796| 0.0360| 1.179| 0.1255| 1.010| 0.0340| 0.864| 0.0830| 1.874| 0.1130|  4|  2|18 43 47.512|-00 00 20.63|31728343|J18434751-0000207|    4.20|   10.40|1|SA 110-311
110 312    |16.093|       | 1.319|       |-0.788|       | 1.137|       | 1.154|       | 2.293|       |  1|  1|18 43 48.928|+00 00 06.03|31907164|J18434892+0000060|   -6.10|   -7.10|1|SA 110-312
110 450    |11.583| 0.0006| 0.946| 0.0007| 0.683| 0.0017| 0.549| 0.0006| 0.626| 0.0007| 1.175| 0.0010| 93| 83|18 43 51.474|+00 22 58.46|31907173|J18435147+0022585|   -0.80|  -10.90|1|SA 110-450
110 315    |13.637| 0.0067| 2.069| 0.0361| 2.256| 0.4639| 1.206| 0.0032| 1.133| 0.0057| 2.338| 0.0067|  8|  4|18 43 52.079|+00 00 49.33|31907176|J18435207+0000492|    0.80|   -2.00|1|SA 110-315
110 316    |14.821|       | 1.731|       | 4.355|       | 0.858|       | 0.910|       | 1.769|       |  1|  1|18 43 52.342|+00 01 04.22|31907177|J18435234+0001041|   -6.30|    1.70|1|SA 110-316
110 319    |11.861| 0.0110| 1.309| 0.0029| 1.076| 0.0035| 0.742| 0.0040| 0.700| 0.0017| 1.443| 0.0058|  3|  2|18 43 55.376|+00 02 00.32|31907184|J18435537+0002003|   -0.20|   -3.80|1|SA 110-319
111 773    | 8.965| 0.0009| 0.209| 0.0006|-0.209| 0.0003| 0.121| 0.0004| 0.145| 0.0006| 0.265| 0.0006| 80| 61|19 37 15.832|+00 10 58.24|31935531|J19371583+0010582|    7.80|    2.10|1|SA 111-773
111 775    |10.748| 0.0010| 1.741| 0.0007| 2.017| 0.0037| 0.965| 0.0006| 0.897| 0.0005| 1.863| 0.0009| 79| 66|19 37 16.357|+00 12 05.56|31935533|J19371636+0012053|   -1.80|   -6.70|1|SA 111-775
111 1925   |12.387| 0.0015| 0.396| 0.0012| 0.264| 0.0038| 0.226| 0.0005| 0.256| 0.0010| 0.483| 0.0009| 30| 17|19 37 28.639|+00 25 02.74|31935589|J19372865+0025026|    2.30|   -4.20|1|SA 111-1925
111 1965   |11.419| 0.0018| 1.710| 0.0037| 1.865| 0.0090| 0.951| 0.0010| 0.877| 0.0010| 1.830| 0.0012| 16|  8|19 37 41.557|+00 26 50.94|31935653|J19374157+0026507|    1.20|    5.80|1|SA 111-1965
111 1969   |10.382| 0.0017| 1.959| 0.0014| 2.306| 0.0054| 1.177| 0.0008| 1.222| 0.0009| 2.400| 0.0013| 58| 47|19 37 43.288|+00 25 48.55|31935665|J19374330+0025484|    4.80|    0.70|1|SA 111-1969
111 2039   |12.395| 0.0021| 1.369| 0.0028| 1.237| 0.0120| 0.739| 0.0021| 0.689| 0.0021| 1.430| 0.0021|  8|  4|19 38 04.578|+00 32 12.54|32100473|J19380457+0032125|   -0.20|  -12.70|1|SA 111-2039
111 2088   |13.193| 0.0014| 1.610| 0.0042| 1.678| 0.0110| 0.888| 0.0018| 0.818| 0.0014| 1.708| 0.0018|  8|  4|19 38 21.254|+00 31 00.26|32100555|J19382125+0031001|   -4.20|   -5.10|1|SA 111-2088
111 2093   |12.538| 0.0025| 0.637| 0.0035| 0.283| 0.0071| 0.370| 0.0032| 0.397| 0.0021| 0.766| 0.0039|  8|  4|19 38 23.462|+00 31 25.44|32100565|J19382345+0031253|    1.70|   -3.70|1|SA 111-2093
112 595    |11.352| 0.0014| 1.601| 0.0009| 1.991| 0.0035| 0.898| 0.0005| 0.903| 0.0007| 1.801| 0.0008| 75| 66|20 41 18.463|+00 16 28.06|31953023|J20411845+0016280|   -0.90|   -6.10|1|SA 112-595
112 704    |11.452| 0.0030| 1.536| 0.0023| 1.742| 0.0076| 0.822| 0.0021| 0.746| 0.0018| 1.570| 0.0025| 19| 12|20 42 02.066|+00 19 08.22|31953178|J20420207+0019081|   -3.90|    0.40|1|SA 112-704
112 223    |11.424| 0.0007| 0.454| 0.0006| 0.016| 0.0015| 0.273| 0.0005| 0.274| 0.0007| 0.547| 0.0010| 87| 79|20 42 14.583|+00 08 59.70|31953218|J20421458+0008596|    5.30|  -10.40|1|SA 112-223
112 250    |12.095| 0.0021| 0.532| 0.0019|-0.025| 0.0042| 0.317| 0.0019| 0.323| 0.0019| 0.639| 0.0026| 18| 12|20 42 26.386|+00 07 42.50|31953253|J20422638+0007423|    1.40|   -9.10|1|SA 112-250
112 275    | 9.905| 0.0001| 1.210| 0.0004| 1.294| 0.0016| 0.648| 0.0004| 0.569| 0.0005| 1.217| 0.0007|113| 98|20 42 35.424|+00 07 20.22|31953288|J20423542+0007202|   -0.80|  -11.10|1|SA 112-275
112 805    |12.086| 0.0006| 0.151| 0.0007| 0.158| 0.0017| 0.064| 0.0006| 0.075| 0.0012| 0.139| 0.0016| 95| 86|20 42 46.753|+00 16 08.08|31953316|J20424674+0016079|    8.90|   11.60|1|SA 112-805
112 822    |11.548| 0.0007| 1.030| 0.0008| 0.883| 0.0022| 0.558| 0.0005| 0.502| 0.0007| 1.060| 0.0008| 70| 61|20 42 54.915|+00 15 01.90|31953341|J20425491+0015019|   -2.60|  -12.70|1|SA 112-822
Mark A4    |14.767| 0.0020| 0.795| 0.0030| 0.176| 0.0040| 0.471| 0.0031| 0.475| 0.0036| 0.952| 0.0052| 22| 11|20 43 53.555|-10 45 05.17|28113771|J20435356-1045051|    1.50|   -6.30|1|[L92b] Mark A4
Mark A2    |14.540| 0.0028| 0.666| 0.0031| 0.096| 0.0046| 0.379| 0.0024| 0.371| 0.0050| 0.751| 0.0059| 21| 10|20 43 54.998|-10 45 31.29|28113774|J20435500-1045312|    3.80|   -1.60|1|[L92b] Mark A2
Mark A1    |15.911| 0.0040| 0.609| 0.0090|-0.014| 0.0136| 0.367| 0.0044| 0.373| 0.0128| 0.740| 0.0148| 25| 10|20 43 58.451|-10 47 12.27|28113781|J20435846-1047121|   -9.60|   -2.00|1|[L92b] Mark A1
Mark A     |13.256| 0.0008|-0.246| 0.0008|-1.159| 0.0021|-0.114| 0.0008|-0.124| 0.0027|-0.238| 0.0029| 88| 71|20 43 59.227|-10 47 41.68|28113783|J20435924-1047417|   26.10|    5.60|1|Mark A
Mark A3    |14.818| 0.0023| 0.938| 0.0034| 0.651| 0.0104| 0.587| 0.0021| 0.510| 0.0030| 1.098| 0.0045| 22| 10|20 44 03.820|-10 45 37.90|        |J20440382-1045378|    4.00|  -24.00|2|[L92b] Mark A3
Wolf 918   |10.869| 0.0021| 1.493| 0.0038| 1.139| 0.0051| 0.978| 0.0022| 1.083| 0.0025| 2.064| 0.0030| 11|  7|21 09 17.431|-13 18 09.01|27211430|J21091740-1318080|  721.00|-1992.30|1|Wolf 918
G26 7A     |13.047| 0.0016| 0.725| 0.0017| 0.279| 0.0025| 0.405| 0.0016| 0.371| 0.0020| 0.776| 0.0022| 17|  9|21 31 06.807|-09 46 35.55|28468530|J21310681-0946354|    4.00|  -21.90|1|[L92b] G26 7A
G26 7      |12.006| 0.0017| 1.664| 0.0006| 1.231| 0.0041| 1.298| 0.0011| 1.669| 0.0009| 2.968| 0.0015| 25| 12|21 31 18.637|-09 47 26.44|28468547|J21311859-0947263| 1209.70|  -60.80|1|G26-7
G26 7C     |12.468| 0.0006| 0.624| 0.0013| 0.093| 0.0042| 0.354| 0.0005| 0.340| 0.0010| 0.695| 0.0010| 12|  6|21 31 23.333|-09 50 46.60|28468551|J21312333-0950465|   46.60|  -11.60|1|[L92b] G26 7C
G26 7B     |13.454| 0.0017| 0.562| 0.0021| 0.027| 0.0037| 0.323| 0.0018| 0.327| 0.0017| 0.652| 0.0029| 16|  9|21 31 26.454|-09 47 23.47|28468553|J21312645-0947233|   14.50|  -25.40|1|[L92b] G26 7B
113 440    |11.796| 0.0014| 0.637| 0.0014| 0.167| 0.0042| 0.363|       | 0.350| 0.0028| 0.715| 0.0021|  2|  1|21 40 34.426|+00 41 46.92|32126637|J21403442+0041469|  -23.60|   -7.30|1|SA 113-440
113 221    |12.071| 0.0016| 1.031| 0.0020| 0.874| 0.0055| 0.550| 0.0018| 0.490| 0.0014| 1.041| 0.0022| 24| 10|21 40 36.542|+00 21 03.31|31960156|J21403654+0021032|   -2.70|   -2.90|1|SA 113-221
113 L1     |15.530| 0.0042| 1.343| 0.0509| 1.180| 0.1867| 0.867| 0.0049| 0.723| 0.0049| 1.594| 0.0007|  2|  1|21 40 47.382|+00 28 34.96|31960174|J21404737+0028349|   29.70|   17.30|1|[L92b] SA 113 L1
113 337    |14.225| 0.0130| 0.519| 0.0058|-0.025| 0.0085| 0.351| 0.0072| 0.331| 0.0063| 0.682| 0.0116|  5|  3|21 40 49.456|+00 27 58.01|31960183|J21404944+0027579|   -0.90|    2.60|1|SA 113-337
113 339    |12.250| 0.0020| 0.568| 0.0020|-0.034| 0.0038| 0.340| 0.0014| 0.347| 0.0016| 0.687| 0.0025| 31| 18|21 40 55.675|+00 27 58.07|31960199|J21405567+0027580|    2.60|   -2.80|1|SA 113-339
113 233    |12.398| 0.0021| 0.549| 0.0014| 0.096| 0.0007| 0.338|       | 0.322| 0.0007| 0.661| 0.0007|  2|  1|21 40 59.227|+00 22 02.43|31960207|J21405922+0022023|   16.20|    1.00|1|SA 113-233
113 342    |10.878| 0.0015| 1.015| 0.0015| 0.696| 0.0060| 0.537| 0.0019| 0.513| 0.0023| 1.050| 0.0049|  7|  3|21 40 59.843|+00 27 36.65|31960209|J21405984+0027366|   21.60|   -2.00|1|SA 113-342
113 239    |13.038| 0.0057| 0.516| 0.0028| 0.051| 0.0042| 0.318| 0.0014| 0.327| 0.0035| 0.647| 0.0049|  2|  1|21 41 06.870|+00 22 33.87|31960225|J21410686+0022339|    4.80|    0.20|1|SA 113-239
113 241    |14.352| 0.0019| 1.344| 0.0032| 1.452| 0.0056| 0.897| 0.0012| 0.797| 0.0031| 1.683| 0.0038| 22|  9|21 41 09.188|+00 25 48.20|31960229|J21410919+0025480|   -5.00|  -36.70|1|SA 113-241
113 245    |15.665| 0.0092| 0.628| 0.0099| 0.112| 0.0021| 0.396| 0.0240| 0.318| 0.0106| 0.716| 0.0354|  2|  1|21 41 13.344|+00 21 52.76|31960239|J21411334+0021527|    4.50|   -7.50|1|SA 113-245
113 459    |12.125| 0.0070| 0.535| 0.0055|-0.018| 0.0070| 0.307| 0.0055| 0.313| 0.0060| 0.623| 0.0105|  4|  2|21 41 14.979|+00 43 04.64|32126705|J21411497+0043045|    3.20|   -1.50|1|SA 113-459
113 250    |13.160| 0.0025| 0.505| 0.0025|-0.003| 0.0165| 0.309| 0.0035| 0.316| 0.0045| 0.626| 0.0045|  4|  2|21 41 24.583|+00 20 41.01|31960256|J21412457+0020411|   -2.10|   -4.10|1|SA 113-250
113 466    |10.003| 0.0004| 0.453| 0.0004| 0.003| 0.0009| 0.279| 0.0003| 0.283| 0.0005| 0.564| 0.0007|109| 91|21 41 27.386|+00 40 15.56|32126720|J21412738+0040155|   20.00|    7.40|1|SA 113-466
113 259    |11.744| 0.0005| 1.199| 0.0008| 1.220| 0.0017| 0.621| 0.0004| 0.544| 0.0005| 1.167| 0.0007| 98| 83|21 41 44.849|+00 17 40.05|31960278|J21414484+0017399|   -7.70|   -0.80|1|SA 113-259
113 260    |12.406| 0.0044| 0.514| 0.0021| 0.069| 0.0029| 0.308| 0.0019| 0.298| 0.0015| 0.606| 0.0019| 23| 11|21 41 48.071|+00 23 52.81|31960282|J21414807+0023528|   -8.40|   -6.90|1|SA 113-260
113 475    |10.304| 0.0004| 1.058| 0.0005| 0.841| 0.0012| 0.568| 0.0004| 0.528| 0.0006| 1.097| 0.0006| 89| 79|21 41 51.293|+00 39 20.78|32126762|J21415130+0039208|   11.30|  -15.40|1|SA 113-475
113 263    |15.481| 0.0100| 0.280| 0.0080| 0.074| 0.0250| 0.194| 0.0035| 0.207| 0.0120| 0.401| 0.0140|  4|  1|21 41 52.873|+00 25 37.60|31960290|J21415286+0025375|   11.00|   -3.90|1|SA 113-263
113 366    |13.537| 0.0007| 1.096| 0.0049| 0.896| 0.0049| 0.623| 0.0113| 0.588| 0.0021| 1.211| 0.0099|  2|  1|21 41 53.577|+00 29 22.85|31960292|J21415357+0029228|    4.40|   -1.00|1|SA 113-366
113 265    |14.934| 0.0180| 0.639| 0.0120| 0.101| 0.0163| 0.411| 0.0160| 0.395| 0.0170| 0.807| 0.0263|  9|  4|21 41 53.746|+00 18 04.21|31960293|J21415374+0018041|  -17.40|   -5.60|1|SA 113-265
113 268    |15.281| 0.0033| 0.589| 0.0094|-0.018| 0.0229| 0.379| 0.0078| 0.407| 0.0208| 0.786| 0.0229|  6|  2|21 41 57.086|+00 19 55.88|31960296|J21415707+0019558|   12.30|  -11.70|1|SA 113-268
113 34     |15.173| 0.0014| 0.484| 0.0035|-0.054| 0.0205| 0.306| 0.0106| 0.346| 0.0127| 0.652| 0.0021|  2|  1|21 41 58.784|+00 01 06.97|31960300|J21415876+0001069|   -1.50|   -5.20|1|SA 113-34
113 372    |13.681| 0.0042| 0.670| 0.0028| 0.080| 0.0141| 0.395| 0.0042| 0.370| 0.0099| 0.766| 0.0064|  2|  1|21 42 01.990|+00 28 38.90|        |J21420199+0028388|   40.00|   12.00|2|SA 113-372
113 149    |13.469| 0.0078| 0.621| 0.0148| 0.043| 0.0099| 0.379| 0.0049| 0.386| 0.0085| 0.765| 0.0042|  2|  1|21 42 05.560|+00 09 25.70|        |J21420555+0009256|  -42.00|  -28.00|2|SA 113-149
113 153    |14.476| 0.1051| 0.745| 0.0381| 0.285| 0.0502| 0.462| 0.0121| 0.441| 0.0139| 0.902| 0.0064|  3|  2|21 42 08.863|+00 15 04.78|31960318|J21420885+0015047|  -13.40|  -12.00|1|SA 113-153
113 272    |13.904| 0.0014| 0.633| 0.0007| 0.067| 0.0255| 0.370| 0.0007| 0.340| 0.0134| 0.710| 0.0120|  2|  1|21 42 20.301|+00 20 58.51|31960326|J21422029+0020584|    6.50|  -12.00|1|SA 113-272
113 156    |11.224| 0.0035| 0.526| 0.0035|-0.057| 0.0057| 0.303| 0.0042| 0.314| 0.0007| 0.618| 0.0028|  2|  1|21 42 21.714|+00 12 10.06|31960328|J21422171+0012099|   -0.30|  -11.70|1|SA 113-156
113 158    |13.116| 0.0035| 0.723| 0.0023| 0.247| 0.0040| 0.407| 0.0029| 0.374| 0.0046| 0.782| 0.0029|  3|  2|21 42 21.763|+00 14 09.73|31960329|J21422175+0014096|   -8.00|  -14.70|1|SA 113-158
113 491    |14.373| 0.0025| 0.764| 0.0020| 0.306| 0.0185| 0.434| 0.0085| 0.420| 0.0095| 0.854| 0.0175|  4|  2|21 42 24.506|+00 43 54.63|32126827|J21422450+0043546|   13.70|   -8.50|1|SA 113-491
113 492    |12.174| 0.0033| 0.553| 0.0063| 0.005| 0.0063| 0.342| 0.0027| 0.341| 0.0033| 0.684| 0.0053|  9|  5|21 42 27.808|+00 38 21.96|32126831|J21422780+0038220|   10.80|   -8.80|1|SA 113-492
113 493    |11.767| 0.0039| 0.786| 0.0035| 0.392| 0.0064| 0.430| 0.0028| 0.393| 0.0018| 0.824| 0.0039|  8|  4|21 42 28.579|+00 38 11.53|32126834|J21422857+0038115|   22.50|    4.10|1|SA 113-493
113 495    |12.437| 0.0024| 0.947| 0.0029| 0.530| 0.0053| 0.512| 0.0033| 0.497| 0.0037| 1.010| 0.0057|  6|  3|21 42 29.737|+00 38 07.96|32126836|J21422972+0038079|  -10.80|    0.70|1|SA 113-495
113 163    |14.540| 0.0041| 0.658| 0.0049| 0.106| 0.0093| 0.380| 0.0054| 0.355| 0.0083| 0.735| 0.0108| 15|  7|21 42 35.438|+00 16 45.54|31960346|J21423544+0016453|   -2.40|  -11.00|1|SA 113-163
113 165    |15.639| 0.0007| 0.601| 0.0057| 0.003| 0.0297| 0.354| 0.0212| 0.392| 0.0431| 0.746| 0.0643|  2|  1|21 42 37.998|+00 15 33.15|31960349|J21423799+0015330|    1.40|   -6.00|1|SA 113-165
113 281    |15.247| 0.0078| 0.529| 0.0014|-0.026| 0.0311| 0.347| 0.0021| 0.359| 0.0368| 0.706| 0.0389|  2|  1|21 42 38.704|+00 18 56.66|31960351|J21423870+0018565|    2.90|   -5.50|1|SA 113-281
113 167    |14.841| 0.0007| 0.597| 0.0099|-0.034| 0.0240| 0.351| 0.0071| 0.376| 0.0141| 0.728| 0.0219|  2|  1|21 42 40.950|+00 16 08.62|31960357|J21424095+0016084|   -5.90|   -4.00|1|SA 113-167
113 177    |13.560| 0.0052| 0.789| 0.0040| 0.318| 0.0060| 0.456| 0.0044| 0.436| 0.0037| 0.890| 0.0056| 27| 13|21 42 56.538|+00 14 43.80|31960385|J21425653+0014437|   13.50|  -12.00|1|SA 113-177
113 182    |14.370| 0.0144| 0.659| 0.0089| 0.065| 0.0089| 0.402| 0.0039| 0.422| 0.0086| 0.824| 0.0089| 13|  6|21 43 08.336|+00 14 49.98|31960403|J21430833+0014498|    2.30|   -0.20|1|SA 113-182
